// File: 123Duchon.txt
// Data file for SeaPort projects
// Date: Mon Oct 31 21:48:25 EDT 2016
// parameters: 3 5 15 12 4 30
//   ports, docks, pships, cships, jobs, persons

// port   name index parent(null)
//    port   <string> <int> <int>
port Wilmington 10001 0
port Lawrence 10000 0
port Islam_Qala 10002 0

// dock   name index parent(port)
//    dock   <string> <int> <int>
  dock Pier_14 20014 10002 30034
  dock Pier_6 20006 10001 30016
  dock Pier_13 20013 10002 30033
  dock Pier_9 20009 10001 30019
  dock Pier_1 20001 10000 30001
  dock Pier_7 20007 10001 30017
  dock Pier_3 20003 10000 30003
  dock Pier_12 20012 10002 30032
  dock Pier_11 20011 10002 30031
  dock Pier_4 20004 10000 30004
  dock Pier_5 20005 10001 30015
  dock Pier_0 20000 10000 30000
  dock Pier_8 20008 10001 30018
  dock Pier_2 20002 10000 30002
  dock Pier_10 20010 10002 30030

// pship  name index parent(dock/port) weight length width draft numPassengers numRooms numOccupied
//    pship  <string> <int> <int> <double> <double> <double> <double> <int> <int> <int>
    job         Job_64_73_74 60297 40029 79.54 electrician stevedore stevedore
    job         Job_85_13_21 60268 30043 111.31 carpenter
    job         Job_12_38_80 60306 40031 37.75 driver mate
    job         Job_99_47_17 60017 30004 61.09 engineer clerk
    job         Job_21_64_17 60316 40034 46.50
    job         Job_43_50_34 60050 30012 110.03 inspector
    job         Job_53_21_73 60193 40018 59.62
    job         Job_34_57_53 60093 40008 75.67 electrician
    job         Job_71_46_53 60014 30003 59.56 clerk
    job         Job_40_20_29 60016 30004 68.35 cleaner driver
    job         Job_37_30_20 60025 30006 33.77 mechanic
    job         Job_80_16_40 60228 30033 56.68 stevedore
    job         Job_93_70_93 60211 40022 70.25
    job         Job_71_89_76 60213 40023 112.57 clerk captain mate
    job         Job_29_86_87 60083 40005 65.76
    job         Job_92_96_32 60308 40032 46.39 inspector driver
    job         Job_67_15_11 60217 30030 47.82
    job         Job_36_11_35 60038 30009 40.99 driver
    job         Job_72_41_18 60067 40001 77.85 mechanic cleaner
    job         Job_74_71_26 60099 40009 40.86 carpenter stevedore
    job         Job_33_95_13 60027 30006 50.48
    job         Job_14_60_50 60275 30044 92.44 janitor
    job         Job_97_58_21 60018 30004 111.70
    job         Job_56_91_70 60110 30015 28.70 electrician clerk
    job         Job_23_70_95 60006 30001 78.30 crew electrician mechanic
    job         Job_23_75_47 60201 40020 64.10 stevedore crew
    job         Job_56_68_71 60026 30006 40.33 crew crew
    job         Job_44_80_27 60289 40027 29.02 cleaner crew
    job         Job_40_45_51 60139 30022 113.80
    job         Job_41_22_14 60300 40030 99.65 mechanic
    job         Job_28_55_61 60089 40007 29.05 painter mechanic driver craneOperator
    job         Job_21_80_23 60019 30004 29.38
    job         Job_60_75_34 60096 40009 65.06
    job         Job_18_41_69 60022 30005 110.74
    job         Job_94_14_42 60130 30020 26.00 craneOperator
    job         Job_80_56_43 60056 30014 34.19 crew
    job         Job_45_93_95 60000 30000 59.24 engineer crew
    job         Job_13_18_20 60196 40019 20.87 stevedore
    job         Job_78_46_46 60209 40022 77.96 mechanic
